,EG.5.1,XBB.2.3,XBB.1,XBB.1.9.1,XBB.1.5,XBB.1.16
EG.5.1,0,"0,32","0,16","0,16","0,16","0,24"
XBB.2.3,"0,32",0,"0,16","0,16","0,16","0,24"
XBB.1,"0,16","0,16",0,0,0,"0,08"
XBB.1.9.1,"0,16","0,16",0,0,0,"0,08"
XBB.1.5,"0,16","0,16",0,0,0,"0,08"
XBB.1.16,"0,24","0,24","0,08","0,08","0,08",0
